Subspecies,RhinoID,Sex,BirthDate,Mother,IntroductionDate,Origin,Destination,Father,
D.b.michaeli,Mugambi,M,1-Jan-64,Solio Cow 3,1-Feb-94,Solio,,Solio Bull 3,
D.b.michaeli,Rongai,F,1-Jan-66,Sangare Cow,6-May-84,Sangare Ranch,,Sangare,
D.b.michaeli,Stumpy,F,1-Jan-69,Solio Cow 5,10-Aug-84,Solio,,Solio Bull 5,
D.b.michaeli,Shaba,F,1-Jan-70,Shaba Cow,6-Apr-84,Shaba ,,Shaba Bull,
D.b.michaeli,Juno 1,F,1-Jan-71,Samaki Cow-SO,5-Aug-84,Solio,,Samaki Bull,
D.b.michaeli,Wamba,M,1-Jan-74,Wamba Cow-MR,14-Feb-85,Mathews Range,,Wamba Bull,
D.b.michaeli,Ol-Bayuun,M,1-Jan-75,Solio Cow 1,1-Jan-84,Solio,,Solio Bull 1,
D.b.michaeli,Zero,M,1-Jan-76,Ex OPC cow,15-Aug-91,OPC,,Ex OPC male,
D.b.michaeli,Solio,F,1-Jan-76,Solio Cow 7,1-Oct-84,Solio,,Solio Bull 7,
D.b.michaeli,Morani,M,19-May-76,Cow U1-NNP,17-Apr-84,Nairobi NP,Nairobi NP,Unknown Bull 1,
D.b.michaeli,Amboni,M,1-Jan-77,Rongai,7-May-84,Sangare Ranch,LNNP,Unknown Bull 2,
D.b.michaeli,Sopat,M,1-Jan-77,Solio Cow 2,24-Jun-90,Solio,,Solio Bull 2,
D.b.michaeli,Sabachi,F,1-Jan-80,Sabachi Cow,22-Apr-85,Ololokwe,,Sabachi Bull,
D.b.michaeli,Narasha,F,1-Jan-80,Solio Cow 4,1-Feb-94,Solio,,Solio Bull 4,
D.b.michaeli,Mutane,M,1-Jan-80,Solio Cow 8,1-Mar-94,Solio,,Solio Bull 8,
D.b.michaeli,Keno,M,1-Jan-81,Cow U3-NNP,24-Jan-93,Mathews Range,Namunyak,Unknown Bull 4,
D.b.michaeli,Kelele,M,1-Jan-81,Rongai,7-May-84,Sangare Ranch,Meru NP,Mweiga Bull,
D.b.michaeli,Godot,M,1-Jan-82,Cow U2-NNP,12-Mar-84,Nairobi NP,Meru NP,Unknown Bull 3,
D.b.michaeli,Kikwar,M,1-Jan-82,Kikwar Cow-MR,23-Jan-90,Mathews Range,,Kikwar Bull,
D.b.michaeli,Number 5 (James),M,11-Oct-83,Mama Kali-OJ,1-Mar-94,Ol Jogi,,Ol Jogi Bull,
D.b.michaeli,Melita,M,1-Jan-84,Ol Jogi Cow 6,1-Mar-94,Ol Jogi,,Solio Bull 6,
D.b.michaeli,Mawingo,F,1-Jun-84,LNNP Cow,16-Feb-89,LNNP,,Solio Bull 9,
