"","X","ID.No.","Name","Sex","Date.of.Birth","Mother","Father"
"1",1,588,"LOEKU (M.CHONDA)",1,"8/22/2005","HUSNAH","F1"
"2",2,599,"LODUNGU (CEDRIC)",1,"2/3/2007","ZAWADI","F2"
"3",3,621,"NADUNGU (AMNEVILLE)",2,"6/10/2009","WAMBUI","F3"
"4",4,634,"NAPONU (JULIA)",2,"4/18/2012","JEBUNGEI","F4"
"5",5,2539,"SERO",1,"9/23/1999","NYOTA","MUTANE"
"6",6,2543,"LOSEKU (NASHA)",1,"11/7/2000","SOLIO","KELELE"
"7",7,2550,"NAIRRENYU (SALA)",2,"10/7/2003","SOLIO","AMURI"
"8",8,2551,"NAITAMANY (BB)",2,"10/8/2003","ZARIA","IBONG"
"9",9,2558,"SYRAH",1,"11/1/2004","SEIYA","IBONG"
"10",10,2586,"LOISHERU (SUB AREA)",1,"2/25/2009","WAIWAI","LUCKY"
"11",11,2596,"NARIKU SERA ( SONIA'S CALF 5)",2,"1/1/2010","SONIA","IBONG"
"12",12,2600,"MARY",2,"4/1/2011","SALA ","MUTANE"
"13",13,2601,"LOITEMU (MELUAYA'S CALF 4)",1,"4/16/2011","MELUAYA","MELITA"
"14",14,8001,"NTANGASWA",2,"3/11/2016","NAITAMANY (BB)","F3"
"15",15,8002,"LOIJIPU",1,"2/28/2017","NAIRRENYU (SALA)","F4"
"16",16,8003,"NTEEKWA",2,"1/25/2018","NADUNGU (AMNEVILLE)","F2"
"17",17,8004,"NTIBIKWA",2,"8/16/2018","NAITAMANY (BB)","LOSEKU (NASHA)"
"18",18,8005,"LTUPUNYWA",1,"10/9/2018","NAIRRENYU (SALA)","LOEKU (M.CHONDA)"
"19",19,8006,"NAMUNYAK",2,"10/9/2019","NARIKU SERA ( SONIA'S CALF 5)","LOEKU (M.CHONDA)"
"20",20,8007,"LAANYU",1,"6/26/2020","NAPONU (JULIA)","LOITEMU (MELUAYA'S CALF 4)"
"21",21,2000,"MUTANE",1,"","",""
"22",22,2001,"KELELE",1,"","",""
"23",23,2002,"AMURI",1,"","",""
"24",24,2003,"IBONG",1,"","",""
"25",25,2004,"LUCKY",1,"","",""
"26",26,2005,"MELITA",1,"","",""
"27",27,2006,"HUSNAH",2,"","",""
"28",28,2007,"ZAWADI",2,"","",""
"29",29,2008,"WAMBUI",2,"","",""
"30",30,2009,"JEBUNGEI",2,"","",""
"31",31,2010,"NYOTA",2,"","",""
"32",33,2012,"SOLIO",2,"","",""
"33",34,2013,"ZARIA",2,"","",""
"34",35,2014,"SEIYA",2,"","",""
"35",36,2015,"WAIWAI",2,"","",""
"36",37,2016,"SONIA",2,"","",""
"37",38,2017,"SALA ",2,"","",""
"38",39,2018,"MELUAYA",2,"","",""
"39",40,2019,"F1",1,"","",""
"40",41,2020,"F2",1,"","",""
"41",42,2021,"F3",1,"","",""
"42",43,2022,"F4",1,"","",""
